cik,ticker,company_name,metric,value,unit,form,fiscal_year,fiscal_period,period_end,filed_date,accession_number,taxonomy,concept,source_url
0000006201,AAL,American,shares_outstanding,438057971.0,shares,10-Q,2019,Q3,2019-10-18,2019-10-24,0000006201-19-000067,dei,EntityCommonStockSharesOutstanding,https://www.sec.gov/Archives/edgar/data/6201/000000620119000067/
0000320193,AAPL,Apple,equity,64280000000.0,USD,10-Q,2021,Q3,2021-06-26,2021-07-28,0000320193-21-000065,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/
0000320193,AAPL,Apple,operating_cash_flow,122151000000.0,USD,10-K,2023,FY,2022-09-24,2023-11-03,0000320193-23-000106,us-gaap,NetCashProvidedByUsedInOperatingActivities,https://www.sec.gov/Archives/edgar/data/320193/000032019323000106/
0000320193,AAPL,Apple,rd,7457000000.0,USD,10-Q,2023,Q2,2023-04-01,2023-05-05,0000320193-23-000064,us-gaap,ResearchAndDevelopmentExpense,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/
0000320193,AAPL,Apple,revenue,89584000000.0,USD,10-Q,2021,Q2,2021-03-27,2021-04-29,0000320193-21-000056,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/
0001551152,ABBV,AbbVie Inc.,cash,9746000000.0,USD,10-Q,2022,Q3,2021-12-31,2022-11-04,0001551152-22-000045,us-gaap,CashAndCashEquivalentsAtCarryingValue,https://www.sec.gov/Archives/edgar/data/1551152/000155115222000045/
0001551152,ABBV,AbbVie Inc.,equity,3364000000.0,USD,10-Q,2026,Q1,2024-12-31,2026-05-08,0001551152-26-000017,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000017/
0001559720,ABNB,AirBnB Class A,operating_income,101000000.0,USD,10-Q,2025,Q1,2024-03-31,2025-05-01,0001559720-25-000017,us-gaap,OperatingIncomeLoss,https://www.sec.gov/Archives/edgar/data/1559720/000155972025000017/
0000001800,ABT,Abbott Laboratories,assets,68776000000.0,USD,10-Q,2020,Q2,2020-06-30,2020-07-29,0001104659-20-087850,us-gaap,Assets,https://www.sec.gov/Archives/edgar/data/1800/000110465920087850/
0000001800,ABT,Abbott Laboratories,net_income,960000000.0,USD,10-K,2019,FY,2019-09-30,2020-02-21,0001104659-20-023904,us-gaap,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/1800/000110465920023904/
0000001800,ABT,Abbott Laboratories,revenue,7328000000.0,USD,10-Q,2021,Q2,2020-06-30,2021-08-04,0001104659-21-100055,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,https://www.sec.gov/Archives/edgar/data/1800/000110465921100055/
0000001800,ABT,Abbott Laboratories,sga,10949000000.0,USD,10-K,2023,FY,2023-12-31,2024-02-16,0001628280-24-005348,us-gaap,SellingGeneralAndAdministrativeExpense,https://www.sec.gov/Archives/edgar/data/1800/000162828024005348/
0000006201,AAL,American,eps,0.19,USD/shares,10-K,2024,FY,2022-12-31,2025-02-19,0000006201-25-000010,us-gaap,EarningsPerShareDiluted,https://www.sec.gov/Archives/edgar/data/6201/000000620125000010/
0000006201,AAL,American,eps,-0.23,USD/shares,10-Q,2024,Q3,2024-09-30,2024-10-24,0000006201-24-000060,us-gaap,EarningsPerShareDiluted,https://www.sec.gov/Archives/edgar/data/6201/000000620124000060/
0000006201,AAL,American,equity,-780000000.0,USD,10-K,2020,FY,2017-12-31,2021-02-17,0000006201-21-000014,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/6201/000000620121000014/
0000006201,AAL,American,shares_outstanding,651430518.0,shares,10-K,2022,FY,2023-02-17,2023-02-22,0000006201-23-000018,dei,EntityCommonStockSharesOutstanding,https://www.sec.gov/Archives/edgar/data/6201/000000620123000018/
0000006201,AAL,American,shares_outstanding,657575582.0,shares,10-K,2024,FY,2025-02-14,2025-02-19,0000006201-25-000010,dei,EntityCommonStockSharesOutstanding,https://www.sec.gov/Archives/edgar/data/6201/000000620125000010/
0000320193,AAPL,Apple,shares_outstanding,14681140000.0,shares,10-Q,2026,Q1,2026-01-16,2026-01-30,0000320193-26-000006,dei,EntityCommonStockSharesOutstanding,https://www.sec.gov/Archives/edgar/data/320193/000032019326000006/
0001551152,ABBV,AbbVie Inc.,eps,0.77,USD/shares,10-Q,2024,Q1,2024-03-31,2024-05-03,0001551152-24-000020,us-gaap,EarningsPerShareDiluted,https://www.sec.gov/Archives/edgar/data/1551152/000155115224000020/
0001551152,ABBV,AbbVie Inc.,net_income,1816000000.0,USD,10-K,2025,FY,2025-12-31,2026-02-20,0001551152-26-000008,us-gaap,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/1551152/000155115226000008/
0001551152,ABBV,AbbVie Inc.,operating_cash_flow,10049000000.0,USD,10-Q,2020,Q3,2019-09-30,2020-11-04,0001551152-20-000032,us-gaap,NetCashProvidedByUsedInOperatingActivities,https://www.sec.gov/Archives/edgar/data/1551152/000155115220000032/
0000001800,ABT,Abbott Laboratories,net_income,654000000.0,USD,10-K,2018,FY,2018-12-31,2019-02-22,0001047469-19-000624,us-gaap,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/1800/000104746919000624/
0000001800,ABT,Abbott Laboratories,rd,725000000.0,USD,10-Q,2025,Q2,2025-06-30,2025-07-30,0001628280-25-036720,us-gaap,ResearchAndDevelopmentExpense,https://www.sec.gov/Archives/edgar/data/1800/000162828025036720/
0000006201,AAL,American,cash,687000000.0,USD,10-Q,2024,Q3,2023-09-30,2024-10-24,0000006201-24-000060,us-gaap,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,https://www.sec.gov/Archives/edgar/data/6201/000000620124000060/
0000006201,AAL,American,equity,-7340000000.0,USD,10-Q,2023,Q3,2021-12-31,2023-10-19,0000006201-23-000092,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/6201/000000620123000092/
0000006201,AAL,American,net_income,111000000.0,USD,10-K,2025,FY,2025-12-31,2026-02-18,0000006201-26-000014,us-gaap,NetIncomeLoss,https://www.sec.gov/Archives/edgar/data/6201/000000620126000014/
0000006201,AAL,American,operating_income,-223000000.0,USD,10-Q,2023,Q3,2023-09-30,2023-10-19,0000006201-23-000092,us-gaap,OperatingIncomeLoss,https://www.sec.gov/Archives/edgar/data/6201/000000620123000092/
0000320193,AAPL,Apple,equity,90488000000.0,USD,10-K,2020,FY,2019-09-28,2020-10-30,0000320193-20-000096,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/
0000320193,AAPL,Apple,equity,73733000000.0,USD,10-Q,2026,Q2,2025-09-27,2026-05-01,0000320193-26-000013,us-gaap,StockholdersEquity,https://www.sec.gov/Archives/edgar/data/320193/000032019326000013/
0000320193,AAPL,Apple,operating_cash_flow,118254000000.0,USD,10-K,2025,FY,2024-09-28,2025-10-31,0000320193-25-000079,us-gaap,NetCashProvidedByUsedInOperatingActivities,https://www.sec.gov/Archives/edgar/data/320193/000032019325000079/
0000320193,AAPL,Apple,revenue,88293000000.0,USD,10-K,2018,FY,2017-12-30,2018-11-05,0000320193-18-000145,us-gaap,Revenues,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/
0000320193,AAPL,Apple,sga,16705000000.0,USD,10-K,2020,FY,2018-09-29,2020-10-30,0000320193-20-000096,us-gaap,SellingGeneralAndAdministrativeExpense,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/
0001551152,ABBV,AbbVie Inc.,capex,175000000.0,USD,10-Q,2023,Q1,2023-03-31,2023-05-05,0001551152-23-000023,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,https://www.sec.gov/Archives/edgar/data/1551152/000155115223000023/
0001551152,ABBV,AbbVie Inc.,equity,14732000000.0,USD,10-Q,2021,Q3,2020-06-30,2021-11-02,0001551152-21-000031,us-gaap,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000031/
0001551152,ABBV,AbbVie Inc.,inventory,3272000000.0,USD,10-Q,2021,Q1,2021-03-31,2021-05-07,0001551152-21-000016,us-gaap,InventoryNet,https://www.sec.gov/Archives/edgar/data/1551152/000155115221000016/
0000001800,ABT,Abbott Laboratories,cash,9799000000.0,USD,10-Q,2022,Q2,2021-12-31,2022-08-02,0001628280-22-020209,us-gaap,CashAndCashEquivalentsAtCarryingValue,https://www.sec.gov/Archives/edgar/data/1800/000162828022020209/
